City,Countries,Temp,Humidity,Pressure,Latitude,Longitude
Arman',RU,37.02,97,1018,59.7,150.1667
Hasaki,JP,61.2,83,1021,35.7333,140.8333
Riyadh,SA,82.54,14,1010,24.6877,46.7219
Deogarh,IN,78.42,81,1003,21.5333,84.7333
Brae,GB,47.53,87,994,60.3964,-1.353
Maniitsoq,GL,28.17,76,1008,65.4167,-52.9
Arlit,NE,90.16,14,1005,18.7369,7.3853
Konëvo,RU,37.74,76,1016,62.1215,39.3192
Mitsamiouli,KM,79.52,69,1012,-11.3847,43.2844
Province of Mantua,IT,61.5,77,1018,45.1667,10.7833
Kharp,RU,18.57,84,1020,66.8014,65.8081
Crato,BR,80.31,74,1016,-7.2342,-39.4094
Esna,EG,80.62,17,1013,25.2934,32.554
Vanimo,PG,82.09,81,1009,-2.6741,141.3028
Udimskiy,RU,36.12,81,1015,61.1417,45.9144
Champerico,GT,84.74,71,1008,14.3,-91.9167
Saldanha,ZA,57.25,94,1017,-33.0117,17.9442
Kaka,TM,64.27,71,1017,37.3482,59.6143
Grindavik,IS,39.67,75,996,63.8424,-22.4338
Palmas Bellas,PA,81.0,78,1009,9.2319,-80.0867
Mezen',RU,37.27,88,1013,65.8522,44.24
Garbolovo,RU,46.98,78,1015,60.3413,30.4955
Quba,AZ,47.55,97,1019,41.3626,48.5152
Pundaguitan,PH,81.14,79,1009,6.3711,126.1689
Tasiilaq,GL,26.76,90,1012,65.6145,-37.6368
Panama City,PA,80.78,90,1008,8.9936,-79.5197
Noumea,NC,77.0,99,1019,-22.2763,166.4572
Bulgan,MN,31.28,52,1028,48.8125,103.5347
Khuzdar,PK,81.68,19,1005,27.7384,66.6434
Nadym,RU,29.97,92,1021,65.5333,72.5167
Lavrentiya,RU,32.77,98,1014,65.5833,-171.0
Ust-Nera,RU,32.05,95,1006,64.5667,143.2
Mokrous,RU,39.13,72,1008,51.2333,47.5167
Touros,BR,77.41,81,1013,-5.1989,-35.4608
Tamayo,DO,82.11,74,1012,18.3947,-71.2029
Hambantota,LK,81.19,80,1005,6.1241,81.1185
Tevriz,RU,49.95,52,1021,57.509,72.4042
Rome,US,75.34,23,1026,43.2128,-75.4557
Pyapon,MM,77.61,89,1007,16.2833,95.6833
Isla Mujeres,MX,84.16,71,1013,21.2311,-86.731
Wanning,CN,79.03,92,1007,18.8003,110.3967
Karratha,AU,69.21,25,1014,-20.7377,116.8463
Margate,GB,56.35,71,1014,51.3813,1.3862
Severo-Kuril'sk,RU,37.09,80,1016,50.6789,156.125
Faya,SA,68.52,54,1014,18.3851,42.4509
Doha,QA,82.35,34,1007,25.2867,51.5333
Salekhard,RU,19.06,97,1020,66.53,66.6019
Rakaia,NZ,47.28,69,1032,-43.75,172.0167
Mishan,CN,56.19,38,1011,45.55,131.8833
Coracora,PE,49.89,51,1019,-15.0333,-73.7833
Liverpool,GB,55.02,69,1007,53.4106,-2.9779
Kassala,SD,85.73,15,1006,15.451,36.4
Camacha,PT,62.02,88,1018,33.0833,-16.3333
Arrondissement de Bourges,FR,59.65,83,1018,47.25,2.4167
Kemerovo,RU,37.09,41,1027,55.3333,86.0833
Kribi,CM,78.49,88,1011,2.95,9.9167
Nurota,UZ,61.47,41,1018,40.5614,65.6886
Verchères,CA,77.14,20,1028,45.7834,-73.3492
Pánuco,MX,91.89,53,1010,22.05,-98.1667
Barcelona,ES,64.56,65,1022,41.3888,2.159
Matveyev Kurgan,RU,42.35,71,1016,47.5645,38.8695
Khuzhir,RU,33.08,72,1026,53.1939,107.3397
Batagay-Alyta,RU,15.57,68,1014,67.8006,130.4114
Baguanos,CU,68.29,73,1013,20.7517,-76.0269
Grand Gaube,MU,76.37,79,1013,-20.0064,57.6608
Havre-St-Pierre,CA,53.96,35,1033,50.2334,-63.5986
Yumen,CN,58.06,26,1010,40.2833,97.2
Nantong,CN,65.98,85,1013,32.0303,120.8747
Srednekolymsk,RU,23.38,79,1013,67.45,153.6833
Lata,PT,55.63,71,1020,40.1629,-8.3327
Ridgecrest,US,66.63,17,1012,35.6225,-117.6709
Komatipoort,ZA,62.17,89,1017,-25.4332,31.9548
Nong’an,CN,44.96,72,1014,44.382,125.1685
Yuzhno-Kurilsk,RU,46.96,64,1021,44.0306,145.8556
Novonukutskiy,RU,36.52,50,1030,53.7002,102.7117
Mananjary,MG,67.59,70,1012,-21.2167,48.3333
Mackay,AU,69.78,94,1015,-21.15,149.2
Kamina,CD,64.42,74,1013,-8.7386,24.9906
Yarmouth,US,51.24,66,1027,41.7057,-70.2286
Whitehorse,CA,38.12,79,1004,60.7161,-135.0538
Mahajanga,MG,73.42,83,1011,-15.7167,46.3167
Kenai,US,48.25,30,1014,60.5544,-151.2583
Broome,US,75.58,18,1026,42.2506,-75.833
Sarai Sidhu,PK,91.54,15,999,30.5949,71.9698
Fairlie,GB,49.59,89,999,55.756,-4.8556
Nur-Sultan,KZ,53.55,94,1013,51.1801,71.446
Calvinia,ZA,47.3,42,1018,-31.4707,19.776
Carlyle,US,86.68,65,1015,38.6103,-89.3726
Bāgeshwar,IN,64.11,75,1009,29.85,79.7667
Merauke,ID,80.91,85,1008,-8.4667,140.3333
Uglich,RU,40.3,67,1014,57.5275,38.3317
Nara,JP,65.84,51,1019,34.6851,135.8049
Pedernales,DO,81.86,70,1013,18.0384,-71.744
Tadine,NC,74.43,70,1018,-21.55,167.8833
Tinskoy,RU,34.52,48,1033,56.1525,96.9161
Altay,CN,46.69,27,1014,47.8667,88.1167
Klaksvík,FO,47.32,86,989,62.2266,-6.589
Pacific Grove,US,56.43,60,1023,36.6177,-121.9166
Sokoni,TZ,81.07,74,1012,-6.4333,39.55
San Carlos,VE,76.77,89,1010,9.6612,-68.5827
Ndélé,CF,81.86,48,1008,8.4109,20.6473
Walvis Bay,NA,61.75,72,1014,-22.9575,14.5053
Kaa-Khem,RU,31.73,76,1029,51.6833,94.7333
Acapulco de Juárez,MX,85.46,59,1008,16.8634,-99.8901
Berbera,SO,82.65,74,1009,10.4396,45.0143
Amboasary,MG,66.45,88,1014,-25.0333,46.3833
Bambanglipuro,ID,78.13,90,1008,-7.95,110.2833
Muleba,TZ,68.0,82,1011,-1.8397,31.6544
Basco,PH,83.84,72,1009,20.4487,121.9702
Gizo Government Station,SB,84.24,74,1009,-8.103,156.8419
Shache,CN,68.72,16,1003,38.4167,77.2406
Koslan,RU,28.96,95,1018,63.4564,48.8989
San Cristobal,VE,77.18,99,1012,7.7669,-72.225
Xiaoyi,CN,64.47,73,1012,34.6178,109.703
Urengoy,RU,27.63,97,1021,65.9667,78.3667
Suez,EG,66.85,52,1015,29.9737,32.5263
Korla,CN,72.48,27,1006,41.7597,86.1469
Ifanadiana,MG,61.77,72,1013,-21.3,47.6333
Torrington,US,64.04,34,1028,41.8007,-73.1212
Adrar,MR,86.27,10,1013,20.5022,-10.0711
Sitges,ES,64.06,55,1017,41.2351,1.8119
Solnechnyy,RU,63.18,43,1009,50.7214,136.6319
Avera,US,79.95,40,1020,33.194,-82.5271
Qeshm,IR,75.07,78,1004,26.9581,56.2719
Byron Bay,AU,71.49,75,1024,-28.65,153.6167
Namatanai,PG,84.42,69,1009,-3.6667,152.4333
Novomykolayivka,UA,41.25,67,1018,47.9781,35.9102
Gusau,NG,88.48,38,1009,12.1628,6.6614
Machilipatnam,IN,81.32,85,990,16.1667,81.1333
Cap Malheureux,MU,76.46,79,1013,-19.9842,57.6142
São José da Coroa Grande,BR,77.23,80,1014,-8.8978,-35.1478
Kavaratti,IN,84.96,68,1005,10.5669,72.642
Choix,MX,101.32,13,1008,26.7092,-108.3219
Chapais,CA,74.98,31,1022,49.7834,-74.8492
Rāzole,IN,80.42,85,994,16.4833,81.8333
Kalutara,LK,81.52,85,1005,6.5831,79.9593
Sur,OM,83.17,49,1003,22.5667,59.5289
Melo,UY,58.73,96,1015,-32.3667,-54.1833
Topolčani,MK,48.63,89,1021,41.2286,21.4314
Smoky Lake,CA,38.48,56,1011,54.1169,-112.4686
Várzea da Palma,BR,68.07,52,1015,-17.5981,-44.7308
San Patricio,US,86.58,55,1013,28.017,-97.5169
Cheremshan,RU,49.44,95,999,54.6667,51.5
Camargo,MX,86.76,19,1008,27.6667,-105.1667
Doiwāla,IN,77.54,50,1004,30.1833,78.1167
Aasiaat,GL,18.14,90,1014,68.7098,-52.8699
Port Alberni,CA,56.39,62,1021,49.2413,-124.8028
Korgen,NO,41.18,100,997,66.0771,13.8153
Kolvereid,NO,43.3,93,997,64.8655,11.6047
Fortuna,US,56.16,61,1023,40.5982,-124.1573
Plaridel,PH,82.09,67,1010,14.8872,120.8572
San Quintín,MX,64.08,61,1016,30.4833,-115.95
Mercedes,AR,58.77,79,1018,-34.6515,-59.4307
Kudahuvadhoo,MV,83.77,77,1007,2.6708,72.8944
Miranda,CO,84.33,94,1013,3.2499,-76.2281
Cedar City,US,59.97,11,1014,37.6775,-113.0619
Toamasina,MG,77.0,94,1011,-18.1667,49.3833
Alyangula,AU,78.67,89,1008,-13.8483,136.4192
La Ferté-Bernard,FR,62.22,90,1017,48.1863,0.6536
Husavik,IS,32.25,97,1002,66.0449,-17.3389
Ambulu,ID,77.11,90,1009,-8.345,113.6058
Doka,SD,91.71,11,1005,13.5167,35.7667
Ibadan,NG,74.3,97,1011,7.3878,3.8964
Plaster Rock,CA,72.12,53,1031,46.9065,-67.39
Kostroma,RU,43.05,67,1011,57.7708,40.9344
Solaro,IT,55.2,86,1020,44.8799,9.1732
Sungai Raya,ID,79.66,87,1008,0.7,108.9
Comodoro Rivadavia,AR,46.26,81,1024,-45.8667,-67.5
Nuquí,CO,79.3,88,1010,5.7125,-77.2708
Corvallis,US,58.75,54,1020,44.5646,-123.262
Labuan,MY,80.1,94,1008,5.2767,115.2417
Abhā,SA,68.25,68,1025,18.2164,42.5053
Tabuk,PH,78.19,77,1010,17.4189,121.4443
Laas,IT,56.66,74,1025,46.6166,10.7002
Khandyga,RU,26.24,91,1013,62.6667,135.6
Kołobrzeg,PL,54.81,95,1014,54.1757,15.5834
Grand-Santi,GF,73.15,99,1013,4.25,-54.3833
Port Keats,AU,78.21,51,1009,-14.25,129.55
Xining,CN,48.67,76,1016,36.6167,101.7667
Sinnamary,GF,77.47,87,1013,5.3833,-52.95
Kousséri,CM,84.16,51,1009,12.0769,15.0306
Melville,US,63.18,30,1027,40.7934,-73.4151
Kosonsoy,UZ,57.76,76,1015,41.2561,71.5508
Borovoy,RU,36.68,41,1027,55.4333,86.0833
Bac Lieu,VN,81.77,83,1008,9.285,105.7244
Samarai,PG,83.61,79,1008,-10.6167,150.6667
Caraballeda,VE,79.77,87,1012,10.6112,-66.8522
Juba,SS,74.25,78,1008,4.8517,31.5825
Sokoto,NG,90.68,36,1008,13.0609,5.239
Fairbanks,US,38.95,81,1018,64.8378,-147.7164
Epe,NG,77.74,89,1011,6.5841,3.9834
Akhtanizovskaya,RU,37.87,67,1018,45.32,37.1
General Pico,AR,61.18,64,1019,-35.6566,-63.7568
Khovd,MN,38.32,28,1019,48.0056,91.6419
Upata,VE,84.2,59,1011,8.0086,-62.3989
Kodinsk,RU,36.79,71,1032,58.6881,99.1844
Tazovsky,RU,15.08,95,1020,67.4667,78.7
Betanzos,ES,55.87,83,1020,43.2804,-8.2147
Suntar,RU,37.18,76,1021,62.1444,117.6319
Vila Velha,BR,75.15,78,1016,-20.3297,-40.2925
Ciampino,IT,61.84,78,1021,41.8016,12.6066
Haines Junction,CA,33.75,80,1010,60.7522,-137.5108
Rock Springs,US,60.24,23,1020,41.5875,-109.2029
Lhokseumawe,ID,77.68,88,1008,5.1801,97.1507
Opuwo,NA,64.15,32,1015,-18.0607,13.84
Dukhovnitskoye,RU,40.91,89,1004,52.4828,48.2137
Ulladulla,AU,58.1,78,1030,-35.35,150.4667
Villa Bruzual,VE,76.06,88,1010,9.3328,-69.1208
Carvin,FR,60.03,65,1015,50.4924,2.9582
Litherland,GB,55.09,69,1009,53.4699,-2.9981
Shiyan,CN,60.33,83,1014,32.6475,110.7781
Mandalgovi,MN,29.37,45,1027,45.7625,106.2708
Cabedelo,BR,77.67,82,1013,-6.9811,-34.8339
Ginda,IN,60.42,47,1010,30.6945,78.4932
College,US,39.15,82,1018,64.8569,-147.8028
Assiniboia,CA,57.02,33,1013,49.6334,-105.9845
Zyryanka,RU,27.16,89,1011,65.75,150.85
Ust'-Kut,RU,36.14,66,1029,56.7938,105.7672
Nagato,JP,61.2,95,1016,34.3833,131.2
Clarence Town,AU,65.35,83,1027,-32.5833,151.7833
Buraidah,SA,82.85,16,1009,26.326,43.975
Banda Aceh,ID,81.34,77,1008,5.5577,95.3222
Kollam,IN,80.89,82,1006,8.8833,76.6
Limbang,MY,78.06,91,1008,4.75,115.0
Plettenberg Bay,ZA,59.05,64,1014,-34.0527,23.3716
Nome,US,32.07,93,1021,64.5011,-165.4064
Kitimat,CA,50.92,63,1013,54.0524,-128.6534
Yanaul,RU,48.15,92,1003,56.2719,54.9309
Kapit,MY,74.93,94,1009,2.0167,112.9333
Nizwá,OM,80.65,30,1006,22.9333,57.5333
Lagoa,PT,59.54,84,1026,39.05,-27.9833
Whitehaven,GB,50.65,95,1005,54.549,-3.5841
Tarakan,ID,80.1,89,1008,3.3,117.6333
Den Helder,NL,54.03,94,1012,52.9599,4.7593
Nemuro,JP,45.52,68,1021,43.3236,145.575
Heidenheim,DE,59.13,77,1020,48.678,10.1516
Lincoln,US,84.52,51,1012,40.8,-96.667
Vinh,VN,79.77,80,1004,18.6667,105.6667
Mahibadhoo,MV,83.26,76,1007,3.7833,72.9667
Nhulunbuy,AU,81.21,89,1008,-12.2333,136.7667
Petersburg,US,68.23,46,1023,37.2279,-77.4019
Urgut,UZ,55.02,89,1018,39.4022,67.2431
Thunder Bay,CA,64.31,48,1017,48.4001,-89.3168
Leshukonskoye,RU,35.06,80,1016,64.8989,45.7622
Ilulissat,GL,16.56,89,1014,69.2167,-51.1
Rockland,US,64.38,29,1027,41.1668,-74.0496
Campeche,MX,96.42,35,1008,19.0,-90.5
Virginia Beach,US,57.74,66,1022,36.8529,-75.978
Garachiné,PA,81.27,82,1009,8.0647,-78.3628
Antigonish,CA,47.12,56,1034,45.6169,-61.9986
Berlevåg,NO,35.55,93,1001,70.8578,29.0864
Amberley,US,81.52,58,1020,39.2048,-84.428
Chokwé,MZ,63.0,82,1017,-24.5333,32.9833
Chanute,US,86.22,83,1013,37.6792,-95.4572
Volchikha,RU,45.36,44,1020,52.0333,80.3833
Arecibo,PR,83.55,63,1014,18.4724,-66.7157
Takoradze,GH,81.03,83,1011,4.8845,-1.7554
Vestmanna,FO,45.52,93,989,62.1564,-7.1664
Nanchital de Lázaro Cárdenas del Río,MX,87.15,68,1008,18.0667,-94.4
Butembo,CD,57.85,93,1014,0.15,29.2833
Ambilobe,MG,72.12,95,1011,-13.2,49.05
Kloulklubed,PW,77.97,91,1010,7.0419,134.2556
Mago,RU,48.79,74,1010,53.2514,140.1822
Ellenabad,IN,88.39,28,1000,29.45,74.65
Petropavlovsk-Kamchatskiy,RU,45.19,61,1019,53.0452,158.6483
Yuci,CN,55.15,71,1017,37.6803,112.7319
Buin,CL,70.93,49,1015,-33.7333,-70.75
Gushikawa,JP,76.69,90,1012,26.3544,127.8686
Chabahar,IR,81.63,75,1002,25.2919,60.643
Zhigansk,RU,26.94,96,1015,66.7697,123.3711
Shestakovo,RU,36.09,56,1030,56.4915,103.96
Yagodnoye,RU,34.61,100,1009,62.55,149.6667
Camocim,BR,76.84,88,1013,-2.9022,-40.8411
Tabou,CI,80.06,83,1012,4.423,-7.3528
Jalu,LY,69.96,37,1017,29.0331,21.5482
Kingman,US,73.76,1,1010,35.1894,-114.053
Newport,GB,54.01,82,1012,51.5877,-2.9984
Nordborg,DK,49.44,93,1011,55.0573,9.7408
Saiha,IN,68.09,96,1009,22.4833,92.9667
Nikolayevsk-on-Amur,RU,49.42,81,1010,53.1406,140.73
San Andrés,CO,84.22,74,1009,12.5847,-81.7006
Altamont,US,45.57,56,971,42.2068,-121.7372
Puerto Colombia,CO,82.49,81,1008,10.9878,-74.9547
Portland,US,60.4,44,1022,45.5234,-122.6762
Sambava,MG,72.99,93,1011,-14.2667,50.1667
Moratuwa,LK,84.22,85,1005,6.773,79.8816
Keti Bandar,PK,81.52,79,1002,24.1447,67.4497
Koygorodok,RU,46.08,80,1010,60.445,50.9968
Hof,DE,59.22,63,1018,50.3167,11.9167
Adlay,PH,80.13,83,1010,9.4097,125.8975
Mennzel Bou Zelfa,TN,60.28,89,1022,36.6831,10.5843
Āsosa,ET,68.7,63,1009,10.0667,34.5333
Laela,TZ,57.04,83,1016,-8.5667,32.05
Inongo,CD,73.04,91,1009,-1.95,18.2667
Jertih,MY,76.86,94,1008,5.7336,102.4897
Marabu,MY,78.94,94,1007,4.4148,114.0089
Kingaroy,AU,62.64,100,1021,-26.5333,151.8333
Abhar,IR,48.13,74,1015,36.1468,49.218
Morondava,MG,70.52,75,1014,-20.2833,44.2833
Poykovskiy,RU,53.19,46,1020,61.2333,73.3333
Beyneu,KZ,55.42,84,1017,45.3167,55.2
Havøysund,NO,35.83,97,1001,70.9963,24.6622
Kinshasa,CD,75.58,88,1013,-4.3246,15.3215
Dhidhdhoo,MV,83.88,76,1006,6.8833,73.1
Dumai,ID,74.05,98,1008,1.6833,101.45
Iwanai,JP,65.28,33,1019,42.9744,140.5089
Tōno,JP,50.83,62,1021,39.3167,141.5333
São João de Pirabas,BR,75.04,90,1013,-0.7747,-47.1772
Darovskoy,RU,48.96,73,1006,58.77,47.9564
Dolores,AR,54.0,74,1019,-36.3132,-57.6792
Ankazobe,MG,53.47,75,1016,-18.3167,47.1167
Ulaangom,MN,35.91,58,1027,49.9811,92.0667
Togur,RU,40.55,63,1029,58.3631,82.8265
Batetskiy,RU,41.67,73,1017,58.6461,30.3027
Chichimila,MX,91.85,39,1010,20.6167,-88.2167
Porto-Novo,BJ,84.02,82,1010,6.4965,2.6036
Muhafazat Lahij,YE,81.12,60,1009,13.1667,44.5833
Sittwe,MM,76.6,93,1007,20.15,92.9
Zaida,PK,80.26,31,1002,34.0603,72.4678
Magaria,NE,90.0,33,1007,12.9983,8.9099
Pangnirtung,CA,28.4,86,1014,66.1451,-65.7125
Campbell River,CA,55.33,58,1021,50.0163,-125.2446
Rio Grande,BR,60.94,89,1015,-32.035,-52.0986
Jacareacanga,BR,77.9,82,1009,-6.2222,-57.7528
Kuytun,RU,34.54,46,1031,54.3419,101.5036
Port Blair,IN,80.64,94,1005,11.6667,92.75
Olinda,BR,82.13,69,1013,-8.0089,-34.8553
Krasnyy Chikoy,RU,32.76,57,1025,50.3643,108.7512
Kovrov,RU,42.33,88,1007,56.3572,41.3192
Puerto Maldonado,PE,84.6,74,1009,-12.6,-69.1833
Ugoofaaru,MV,83.71,78,1007,5.6667,73.0
Jiutai,CN,46.74,78,1014,44.1525,125.8328
Kachīry,KZ,50.36,36,1021,53.0675,76.1036
Sangar,RU,25.14,65,1016,63.9242,127.4739
Mwene-Ditu,CD,67.78,73,1011,-7.0,23.45
Palauig,PH,83.73,65,1009,15.435,119.9045
Clarksburg,US,79.25,19,1023,39.2807,-80.3445
Palestine,PS,55.85,54,1016,31.9216,35.2033
Orlik,RU,26.37,76,1031,52.5178,99.825
Porto Belo,BR,72.12,89,1016,-27.1578,-48.5531
Palmer,US,57.42,35,1029,42.1584,-72.3287
Wittingen,DE,60.84,97,1004,52.7269,10.7361
Galliate,IT,63.61,75,1020,45.4816,8.6967
Mayo,US,68.02,48,1024,38.8876,-76.5119
Dhārchula,IN,65.32,72,1010,29.85,80.5333
Brus Laguna,HN,82.26,75,1011,15.75,-84.4833
Lengshuitan,CN,61.05,93,1012,26.4111,111.5956
Tashtagol,RU,34.92,43,1026,52.7657,87.8894
Bitung,ID,76.05,84,1009,1.4451,125.1824
Winchester,GB,53.87,80,1010,51.0651,-1.3187
